component_id,count,mean,min,max
2465,4,0.988972,0.988972,0.988972
2464,4,0.970980,0.970980,0.970980
2447,4,0.964771,0.964771,0.964771
2426,4,0.966424,0.966424,0.966424
2388,14,0.965678,0.961007,0.973690
2387,4,0.966432,0.966432,0.966432
1093,22,0.969301,0.961186,0.972749
1080,4,0.964010,0.964010,0.964010
1036,4,0.969643,0.969643,0.969643
1029,12,0.966441,0.962625,0.971446
1023,22,0.968888,0.961438,0.974211
1008,4,0.966411,0.966411,0.966411
1004,22,0.965859,0.960014,0.968154
1001,18,0.965837,0.961104,0.970895
877,4,0.961115,0.961115,0.961115
821,4,0.982901,0.982901,0.982901
809,8,0.965696,0.964495,0.966897
768,4,0.963410,0.963410,0.963410
762,12,0.965386,0.960984,0.967813
740,4,0.963520,0.963520,0.963520
725,4,0.962484,0.962484,0.962484
716,4,0.972984,0.972984,0.972984
713,4,0.982591,0.982591,0.982591
701,4,0.988803,0.988803,0.988803
695,4,0.987038,0.987038,0.987038
692,4,0.973805,0.973805,0.973805
660,4,0.963816,0.963816,0.963816
632,8,0.967914,0.962514,0.973314
611,8,0.966562,0.961218,0.971905
42,56,0.973339,0.962110,0.981256
31,4,0.972524,0.972524,0.972524
1,14,0.974536,0.964807,0.981629
0,4,0.972948,0.972948,0.972948
18,8,0.963294,0.960041,0.966546
438,4,0.966046,0.966046,0.966046
1110,22,0.972696,0.967981,0.978739
1118,36,0.969101,0.960590,0.975495
1123,4,0.963523,0.963523,0.963523
1126,4,0.967374,0.967374,0.967374
1130,18,0.972568,0.962916,0.984692
1136,8,0.964542,0.960162,0.968922
1139,4,0.963217,0.963217,0.963217
1238,44,0.970163,0.960064,0.998215
1268,4,0.968155,0.968155,0.968155
1346,12,0.966364,0.960989,0.971959
1374,4,0.961602,0.961602,0.961602
1637,4,0.961757,0.961757,0.961757
1714,4,0.963727,0.963727,0.963727
1741,8,0.963052,0.961945,0.964159
1802,12,0.968087,0.960413,0.979231
1837,180,0.975922,0.963154,0.982519
1848,4,0.975585,0.975585,0.975585
1853,4,0.962986,0.962986,0.962986
1854,14,0.970492,0.964158,0.981022
1862,12,0.964911,0.964152,0.965593
1884,4,0.961873,0.961873,0.961873
1893,12,0.973570,0.969072,0.975976
1904,8,0.960533,0.960151,0.960915
1916,12,0.967344,0.960775,0.970807
1926,4,0.970530,0.970530,0.970530
1927,4,0.968652,0.968652,0.968652
1937,4,0.963364,0.963364,0.963364
1943,4,0.960344,0.960344,0.960344
1948,4,0.962423,0.962423,0.962423
2020,4,0.966054,0.966054,0.966054
2040,4,0.966405,0.966405,0.966405
2101,4,0.966650,0.966650,0.966650
2161,4,0.960533,0.960533,0.960533
2191,4,0.963562,0.963562,0.963562
2195,4,0.964848,0.964848,0.964848
2205,38,0.978651,0.963665,0.984369
2215,4,0.961965,0.961965,0.961965
2217,34,0.977158,0.964258,0.985335
2240,24,0.964199,0.960127,0.972092
2258,4,0.965160,0.965160,0.965160
2266,12,0.963780,0.960488,0.965509
2276,4,0.964317,0.964317,0.964317
2277,4,0.971265,0.971265,0.971265
2296,12,0.964621,0.962728,0.966823
2297,32,0.972677,0.963068,0.980989
2321,4,0.960297,0.960297,0.960297
2339,10,0.963849,0.961212,0.967084
